title,address,facility,緯度,経度
世界で1つしかない本革ショルダーバッグ作りに挑戦！！,東京都墨田区緑2-13-5,Facility information not found,35.6944123,139.8006397
グランピングでゴージャス×アウトドアをまるっと体験！,滋賀県米原市池下80-1,Facility information not found,35.3729569,136.3607066
秋葉山公園（和歌山市）,和歌山県和歌山市秋葉町14,和歌山市の秋葉山を整備した公園。頂上まで登っていくので、ちょっとしたハイキング気分も味わえます。途中には、山の斜面を利用したロングすべり台などもあり、子ど...,34.1996258,135.1721734
内之浦干潟親水公園,和歌山県田辺市新庄町,和歌山県田辺市新庄町の「内之浦干潟親水公園」は、干潟と芝生広場で遊べる田部市の公園です。東京ドームと同じくらいの広大な敷地を有し、そのうち約半分は干潟で、...,33.7167462,135.4074519
岡崎中央児童遊園,和歌山県和歌山市井辺144,"和歌山市の住宅街の中にある公園です。夏限定で利用できる幼児用プールを備えた公園で、地域の親子連れの人気スポット。

また公園内の遊具も充実していて、大...",34.21780950000001,135.2115552
向団地公園プレーパーク,和歌山県和歌山市向191 向団地公園,"和歌山市北部にある市営団地付属の公園で、周辺は主に住宅や水田です。
公園では大きな木や、砂場、ブランコ、鉄製遊具等のほか、臨時設営したロープウェイや、綱...",34.2565353,135.1429782
松島公園,和歌山県和歌山市松島260,和歌山線の線路沿いにある公園です。公園内からは電車が見え、電車好きの子供には大人気の公園です。公園内には、大型の複合遊具もあり、長い時間遊んでいても飽きま...,34.2415607,135.2100843
那賀スポーツレクリエーションセンター　プール,和歌山県紀の川市桃山町調月12番地,那賀スポーツレクリエーションセンタープールは、屋外のプールは、幼児用のプールもあり、どの世代も楽しむことができます。また、屋外のプールには日差しのある小島...,34.2434058,135.3303399
岡東公園,和歌山県和歌山市広瀬中ノ丁一丁目16番地,和歌山市の「広瀬小学校」の隣に整備されています。大きなコンクリート製の遊具が印象的で、高さがあるので、小さな子供は少し注意が必要ですが、小学生くらいの子供...,34.2252305,135.1819149
新南公園,和歌山県和歌山市木広町3-11,和歌山市の「新南小学校」のそばにある公園です。この公園の一番の見どころはなんと言っても、大きな鬼の遊具。小さな子どもはビックリしてしまうかもしれませんが、...,34.2265565,135.1883795
紀ノ川第３緑地（せせらぎ広場）,和歌山県和歌山市有本地先,この公園は、「せせらぎ運動公園」「せせらぎ西1広場」「せせらぎ西2広場」の3つのエリアからなる多目的グラウンドです。「せせらぎ」というのは、紀ノ川の河川敷...,34.2303678,135.1707405
黒田第2公園,和歌山県和歌山市黒田112,"和歌山駅からも徒歩10分の距離にある公園です。比較的新しく整備された公園で、芝生の上に白い石が美しく並べられ、大変スタイリッシュなデザインの公園です。
...",34.23542279999999,135.1922182
さんさん公園（和歌山市）,和歌山県和歌山市直川328-6,"和歌山市の北コミュニティセンター、さんさんセンター紀の川に隣接する公園です。駐車場もあり、小さな子連れには大変便利です。

遊具は、複合遊具やスプリン...",34.2592063,135.2192699
高野山森林公園,和歌山県伊都郡高野町高野山,高野山転軸山内にある森林公園です。緑豊かな園内には、広大なキャンプ場とログハウス2棟が設けられています。ログハウスも格安で利用でき、バーベキューもできるの...,34.2192964,135.586543
高野口公園,和歌山県橋本市高野口町名倉,"JR高野口駅から徒歩で行ける庚申山にある自然公園です。
この公園は、紀の川筋随一の桜の名所として知られています。特に、ライトアップされる夜桜は幻想的です...",34.3064422,135.554681
浅間山園地展望台,和歌山県東牟婁郡太地町太地,和歌山県太地町は半島形の小規模な町で、町全体が熊野灘に面している町です。昭和１１年には国の熊野国立公園として指定されています。またくじらの町としても有名な...,33.5873476,135.9443905
かわべ天文公園,和歌山県日高郡日高川町和佐2107-1,日高川町にあり、天文台、プラネタリウム、宿泊施設、レストランが完備した公園です。天文台には国内最大級のカセグレン式反射望遠鏡が設置され、金･土･日曜、祝日...,33.8946206,135.2169904
