Club,Genre,Address,Access,Age,Feature,url,longitude,latitude
スタッド 福島教室,学習塾,和歌山県和歌山市福島54-1-101,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123963,34.2492592,135.16454
日本空手協会 和歌山北支部,空手・拳法,和歌山県和歌山市中野・松江,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123665,34.2559487,135.1406803
森井塾,学習塾,和歌山県和歌山市鷺ノ森西ノ丁１８,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032557,34.236569,135.1705262
学研 なかのしま教室,学習塾,和歌山県和歌山市中之島1612,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123850,34.2392541,135.1843439
セレソン中之島FC,サッカー・フットサル,和歌山県和歌山市　せせらぎ公園西グラウンド,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123957,34.2493753,135.1894034
ＧＥＳふじと台ラーニングセンター,学習塾,和歌山県和歌山市中５８３－１－２０２,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032661,34.2711627,135.1476375
合気道至誠館道場,合気道,和歌山県和歌山市新中島９９,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000002280,34.2172094,135.1978164
家庭教師・学参,学習塾,和歌山県和歌山市全域,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123877,34.2303678,135.1707405
学研 紀三井寺団地教室,学習塾,和歌山県和歌山市紀三井寺1-160,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123827,34.1682409,135.195979
岩橋珠算教室,書道・習字,和歌山県和歌山市坂田６６８－３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000056903,34.2018385,135.1986532
学研 吉礼みどり教室,学習塾,和歌山県和歌山市吉礼650-8,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123824,34.201338,135.2347029
大学受験専門アカデミーキャンパス,学習塾,和歌山県和歌山市黒田１丁目２－２１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032833,34.2326855,135.1933444
ＴＧＫわーくるーむ,学習塾,和歌山県和歌山市関戸１丁目４－３０,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032913,34.199731,135.1672702
個別指導Ｗａｍ／河北校,学習塾,和歌山県和歌山市狐島６０１－２０１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032606,34.2479638,135.1566432
ガウディアけやき通り教室,学習塾,和歌山県和歌山市友田町２丁目１４５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032862,34.2319133,135.1854626
ＴＳ進学塾宮前教室,学習塾,和歌山県和歌山市中島５５１－５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032877,34.214751,135.1932756
上野塾,学習塾,和歌山県和歌山市津秦１６６－３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032648,34.2206715,135.204331
アカデミーキャンパス県庁前校,学習塾,和歌山県和歌山市南中間町３０,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032752,34.2249374,135.1644701
ＧＥＳ／Ｊ―ＣＡＭＰＵＳ河北,学習塾,和歌山県和歌山市北島４５３－１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032836,34.2380396,135.1552609
学習塾ミューゼ,学習塾,和歌山県和歌山市有本４４３－１３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032556,34.2508192,135.1981902
けいせい塾,学習塾,和歌山県和歌山市園部５９６－１７１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032902,34.263759,135.1883915
スタッドみなと教室,学習塾,和歌山県和歌山市湊５５６,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032856,34.2155993,135.1576592
川端塾,学習塾,和歌山県和歌山市福町４９－５Ｆ,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032920,34.2328735,135.1714749
ヤマハ音楽教室 福島センター,音楽教室,和歌山県和歌山市福島318,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123899,34.2496559,135.165193
東進衛星予備校／和歌山駅前校,学習塾,和歌山県和歌山市太田１丁目１３－１５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032715,34.232108,135.1936775
株式会社服部楽器店,ピアノ,和歌山県和歌山市吹上１丁目２－２０,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000048819,34.2242212,135.1701786
ニッケンスクール高典塾,空手・拳法,和歌山県和歌山市堀止西１丁目１０－１４,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000002738,34.2130396,135.1664008
野崎珠算塾野崎教場,書道・習字,和歌山県和歌山市野崎１０６－８,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000056929,34.2429304,135.1576438
マイゼミナール,学習塾,和歌山県和歌山市神前３５１－１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032551,34.21035810000001,135.2014342
ミュージックサロン和歌山,ピアノ,和歌山県和歌山市南大工町７－１－４Ｆ,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000048829,34.2345903,135.173975
能開センター／個別指導Ａｘｉｓ／個別紀ノ川北校,学習塾,和歌山県和歌山市向１５３－１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032728,34.2582008,135.1439097
個別指導Ｗａｍ／日進校,学習塾,和歌山県和歌山市鳴神１２０４－２－１Ｆ－Ｂ,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032810,34.2275393,135.2074941
明光義塾 和歌山西庄教室,学習塾,和歌山県和歌山市西庄274-62レスペート西庄Ⅵ,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123644,34.2580717,135.1190775
